concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
32050,2052497703,Subsumes,2025-04-15,2099-12-31,
32050,2052497705,Subsumes,2025-04-15,2099-12-31,
32050,2052497951,Is a,2025-04-15,2099-12-31,
32052,2052497944,Is a,2025-04-15,2099-12-31,
32056,2052497930,Is a,2025-04-15,2099-12-31,
32057,2052497930,Is a,2025-04-15,2099-12-31,
32058,2052497930,Is a,2025-04-15,2099-12-31,
32059,2052497430,Is a,2025-04-15,2099-12-31,
32060,2052497431,Is a,2025-04-15,2099-12-31,
32061,2052497422,Subsumes,2025-04-15,2099-12-31,
32061,2052497430,Is a,2025-04-15,2099-12-31,
32061,2052497432,Subsumes,2025-04-15,2099-12-31,
32068,2052497320,Subsumes,2025-04-15,2099-12-31,
32068,2052497676,Subsumes,2025-04-15,2099-12-31,
32068,2052497793,Is a,2025-04-15,2099-12-31,
32068,2052497829,Subsumes,2025-04-15,2099-12-31,
32069,2052497387,Subsumes,2025-04-15,2099-12-31,
32069,2052497744,Subsumes,2025-04-15,2099-12-31,
32069,2052498174,Subsumes,2025-04-15,2099-12-31,
32070,2052497326,Is a,2025-04-15,2099-12-31,
32070,2052497942,Is a,2025-04-15,2099-12-31,
32071,2052497326,Is a,2025-04-15,2099-12-31,
32071,2052497942,Is a,2025-04-15,2099-12-31,
32072,2052497745,Is a,2025-04-15,2099-12-31,
32074,2052497315,Subsumes,2025-04-15,2099-12-31,
32074,2052497316,Subsumes,2025-04-15,2099-12-31,
32074,2052497318,Is a,2025-04-15,2099-12-31,
32074,2052497322,Subsumes,2025-04-15,2099-12-31,
32074,2052497336,Subsumes,2025-04-15,2099-12-31,
32074,2052497337,Subsumes,2025-04-15,2099-12-31,
32074,2052497678,Subsumes,2025-04-15,2099-12-31,
32074,2052497679,Subsumes,2025-04-15,2099-12-31,
32074,2052497683,Subsumes,2025-04-15,2099-12-31,
32074,2052497699,Subsumes,2025-04-15,2099-12-31,
32074,2052497747,Subsumes,2025-04-15,2099-12-31,
32074,2052497902,Subsumes,2025-04-15,2099-12-31,
32074,2052498021,Subsumes,2025-04-15,2099-12-31,
32074,2052498022,Subsumes,2025-04-15,2099-12-31,
32075,2052497329,Is a,2025-04-15,2099-12-31,
32075,2052497680,Subsumes,2025-04-15,2099-12-31,
32075,2052497688,Subsumes,2025-04-15,2099-12-31,
32075,2052497709,Subsumes,2025-04-15,2099-12-31,
32080,2052497732,Is a,2025-04-15,2099-12-31,
32084,2052497579,Is a,2025-04-15,2099-12-31,
32084,2052498039,Is a,2025-04-15,2099-12-31,
32085,2052497527,Subsumes,2025-04-15,2099-12-31,
32085,2052497579,Is a,2025-04-15,2099-12-31,
