ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
4029716,2147483533,5,5
4029716,2147483534,4,4
4029716,2147483535,4,4
4030024,2147483566,3,3
4031967,2147483469,3,3
4031967,2147483470,5,5
4031967,2147483614,5,5
4032235,2147483611,4,4
4032251,2147483469,3,3
4032251,2147483470,5,5
4032251,2147483533,4,6
4032251,2147483608,3,4
4032251,2147483613,4,5
4032251,2147483614,5,5
4032251,2147483615,4,5
4032251,2147483622,3,4
4032251,2147483623,4,4
4032251,2147483624,4,5
4032251,2147483628,4,4
4032251,2147483629,3,3
4032251,2147483630,4,4
4032251,2147483633,5,6
4032251,2147483635,5,6
4032251,2147483636,3,4
4032252,2147483613,4,4
4032254,2147483509,4,5
4032254,2147483510,4,5
4032254,2147483511,4,5
4032257,2147483507,4,4
4032257,2147483509,4,4
4032257,2147483510,4,4
4032257,2147483511,4,4
4032929,2147483611,4,4
4033224,2147483566,4,4
4033224,2147483627,2,2
4033232,2147483507,4,4
4033232,2147483515,1,1
4033232,2147483516,1,1
4033232,2147483517,1,1
4033232,2147483615,3,3
4034302,2147483220,3,3
4034302,2147483221,3,3
4034302,2147483502,7,7
4034302,2147483644,5,5
4037672,2147483507,4,6
4037672,2147483509,6,8
4037672,2147483510,6,8
4037672,2147483511,6,8
4038555,2147483134,4,4
4038746,2147483266,3,3
4038746,2147483267,3,3
4040390,2147483097,4,5
4040390,2147483098,4,5
4040390,2147483099,4,5
4040390,2147483100,4,5
4040390,2147483101,4,5
4040390,2147483102,4,5
4040390,2147483103,4,5
4040390,2147483104,4,5
4040390,2147483105,4,5
4040390,2147483224,4,5
4040390,2147483228,4,4
4040390,2147483295,4,5
4040390,2147483502,6,7
4040390,2147483509,6,8
4040390,2147483510,6,8
4040390,2147483511,6,8
4040390,2147483533,5,8
4040390,2147483534,6,7
4040390,2147483535,6,7
4040390,2147483536,3,4
4040390,2147483590,3,3
4040390,2147483602,5,5
4040390,2147483603,3,3
4040390,2147483608,3,5
4040390,2147483609,8,10
4040390,2147483611,7,9
4040390,2147483613,5,8
4040390,2147483614,7,7
4040390,2147483615,5,8
4040390,2147483617,5,6
4040390,2147483622,3,6
4040390,2147483623,4,7
4040390,2147483633,7,7
4040390,2147483635,6,8
4040390,2147483636,5,6
4040390,2147483638,4,4
4040390,2147483639,4,4
4040390,2147483644,5,5
4040391,2147483615,5,5
4040392,2147483611,6,8
4040392,2147483613,5,7
4040395,2147483533,5,7
4040395,2147483534,5,6
4040395,2147483535,5,6
4040396,2147483507,5,5
4040396,2147483509,5,5
4040396,2147483510,5,5
4040396,2147483511,5,5
4040396,2147483536,4,4
4040396,2147483609,6,6
4040396,2147483611,6,6
4040396,2147483613,4,6
4040396,2147483623,5,5
4040396,2147483630,5,5
4040400,2147483097,4,4
4040400,2147483098,4,4
4040400,2147483099,4,4
4040400,2147483100,4,4
4040400,2147483101,4,4
4040400,2147483102,4,4
4040400,2147483103,4,4
4040400,2147483104,4,4
4040400,2147483105,4,4
4040400,2147483224,4,4
4040400,2147483228,3,3
4040400,2147483295,3,3
4040400,2147483502,5,5
4040400,2147483509,5,7
4040400,2147483510,5,7
4040400,2147483511,5,7
4040400,2147483533,5,6
4040400,2147483534,5,5
4040400,2147483535,5,5
4040400,2147483536,3,3
4040400,2147483608,4,4
4040400,2147483609,7,9
4040400,2147483611,6,6
4040400,2147483613,5,5
4040400,2147483614,5,5
4040400,2147483615,5,5
4040400,2147483617,4,5
4040400,2147483622,5,5
4040400,2147483623,6,6
4040400,2147483635,5,6
4040400,2147483636,4,4
4040400,2147483638,4,4
4040400,2147483639,4,4
4040551,2147483097,3,3
4040551,2147483098,3,3
4040551,2147483099,3,3
4040551,2147483100,3,3
4040551,2147483101,3,3
4040551,2147483102,3,3
4040551,2147483103,3,3
4040551,2147483104,3,3
4040551,2147483105,3,3
4040551,2147483224,3,3
4040551,2147483228,2,2
4040551,2147483502,4,4
4040551,2147483509,4,6
4040551,2147483510,4,6
4040551,2147483511,4,6
4040551,2147483608,3,3
4040551,2147483609,6,8
4040551,2147483617,3,4
4040551,2147483635,4,5
4040551,2147483636,3,3
4040559,2147483536,2,2
4040559,2147483623,5,5
4040570,2147483613,4,4
4040711,2147483614,3,3
4040721,2147483533,6,8
4040721,2147483534,6,7
4040721,2147483535,6,7
4040721,2147483624,5,6
4040721,2147483628,4,5
4041263,2147483611,5,7
4041263,2147483613,4,5
4041283,2147483222,2,2
4041284,2147483218,6,6
4041287,2147483245,3,3
4042005,2147483593,2,2
4042150,2147483507,6,6
4042150,2147483515,3,3
4042150,2147483516,3,3
4042150,2147483517,3,3
4042150,2147483615,5,5
4042150,2147483616,3,3
4042150,2147483620,4,4
4042150,2147483621,4,4
4042150,2147483638,5,5
4042150,2147483639,5,5
4042330,2147483615,4,4
4042346,2147483638,2,2
4042346,2147483639,2,2
4042478,2147483623,4,4
4042488,2147483614,4,4
4042504,2147483097,3,3
4042504,2147483098,3,3
4042504,2147483099,3,3
4042504,2147483100,3,3
4042504,2147483101,3,3
4042504,2147483102,3,3
4042504,2147483103,3,3
4042504,2147483104,3,3
4042504,2147483105,3,3
4042504,2147483224,3,3
4042504,2147483549,3,3
4042504,2147483551,3,3
4042504,2147483635,5,7
4042516,2147483615,6,7
4042641,2147483097,4,4
4042641,2147483098,4,4
4042641,2147483099,4,4
4042641,2147483100,4,4
4042641,2147483101,4,4
4042641,2147483102,4,4
4042641,2147483103,4,4
4042641,2147483104,4,4
4042641,2147483105,4,4
4042641,2147483224,4,4
4042641,2147483228,3,3
4042641,2147483295,3,4
4042641,2147483502,5,6
4042641,2147483509,5,7
4042641,2147483510,5,7
4042641,2147483511,5,7
4042641,2147483608,4,4
4042641,2147483609,7,9
4042641,2147483617,4,5
4042641,2147483622,5,5
4042641,2147483633,6,6
4042641,2147483635,5,7
4042641,2147483636,4,5
4042642,2147483533,5,6
4042642,2147483534,5,5
4042642,2147483535,5,5
4042642,2147483614,5,5
4042645,2147483295,3,3
4042645,2147483622,5,5
4042646,2147483611,6,6
4042650,2147483549,2,2
4042650,2147483551,2,2
4042650,2147483635,4,6
4042673,2147483295,2,2
4042673,2147483622,4,4
4042677,2147483097,2,2
4042677,2147483098,2,2
4042677,2147483099,2,2
4042677,2147483100,2,2
4042677,2147483101,2,2
4042677,2147483102,2,2
4042677,2147483103,2,2
4042677,2147483104,2,2
4042677,2147483105,2,2
4042677,2147483224,2,2
4042677,2147483502,3,3
4042840,2147483611,4,4
4043017,2147483638,3,3
4043017,2147483639,3,3
4043018,2147483536,3,3
4043018,2147483623,3,6
4043019,2147483228,3,3
4043019,2147483533,4,7
4043019,2147483534,5,6
4043019,2147483535,5,6
4043019,2147483614,6,6
4043019,2147483644,4,4
4043021,2147483624,5,5
4043021,2147483628,4,4
4043022,2147483291,3,3
4043022,2147483295,5,5
4043022,2147483507,6,6
4043022,2147483509,5,6
4043022,2147483510,5,6
4043022,2147483511,5,6
4043022,2147483536,5,5
4043022,2147483609,7,7
4043022,2147483611,7,9
4043022,2147483613,5,8
