"source_code_set","source_category","source_domain","source_code","source_concept_id","source_vocabulary_id","source_description","source_description_synonym","relationship_id","predicate_id","confidence","target_concept_id","target_concept_name","target_vocabulary_id","target_domain_id","author_label","reviewer_label","reviewer_comments","mapping_justification","mapping_tool","mapping_tool_version"
"HPO","HPO","Condition","HP_0012888","37429830","HPO","Abnormal uterine cervix morphology","Abnormality of the uterine cervix","Maps to","skos:exactMatch","1","442781","Disorder of uterine cervix","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012887","37429829","HPO","Ovarian serous cystadenoma","","Maps to","skos:exactMatch","1","4000641","Serous cystadenoma of ovary","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012886","37429828","HPO","Hemorrhagic ovarian cyst","","Maps to","skos:exactMatch","1","4002233","Hemorrhagic cyst of ovary","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012885","37429827","HPO","Fallopian tube duplication","Accessory fallopian tube","Maps to","skos:exactMatch","1","4171984","Accessory fallopian tube","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012884","37429826","HPO","Fallopian tube torsion","Twisted fallopian tube","Maps to","skos:exactMatch","1","4263447","Torsion of fallopian tube","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012883","37429825","HPO","Fallopian tube cyst","","Maps to","skos:exactMatch","1","4245031","Cyst of fallopian tube","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012879","37429821","HPO","Anejaculation","Ejaculatory incompetence","Maps to","skos:exactMatch","1","4088757","Anejaculation","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012878","37429820","HPO","Retarded ejaculation","Delayed ejaculation","Maps to","skos:exactMatch","1","4036117","Late ejaculation","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012877","37429819","HPO","Retrograde ejaculation","","Maps to","skos:exactMatch","1","435866","Retrograde ejaculation","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012876","37429818","HPO","Premature ejaculation","","Maps to","skos:exactMatch","1","434319","Premature ejaculation","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012875","37429817","HPO","Abnormal ejaculation","","Maps to","skos:exactMatch","1","4297368","Abnormal ejaculation","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012873","37429815","HPO","Absent vas deferens","Absent deferent duct | Absent ductus deferens | Congenital absence of the vas deferens","Maps to","skos:exactMatch","1","4104295","Vas deferens absent","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012871","37429813","HPO","Varicocele","Vaginal varicocele","Maps to","skos:exactMatch","1","4196960","Varicocele","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012870","37429812","HPO","Vanishing testis","","Maps to","skos:exactMatch","1","4201736","Testicular regression syndrome","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012864","37429806","HPO","Abnormal sperm morphology","Abnormal shape of sperm | Teratospermia | Teratozoospermia","Maps to","skos:exactMatch","1","4084252","Teratozoospermia","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Observation","HP_0012861","37429803","HPO","Ovotestis","","Maps to","skos:exactMatch","1","605298","Ovotestis","SNOMED","Observation","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012860","37429802","HPO","Testicular fibrosis","Fibrotic testes | Fibrotic testicle","Maps to","skos:exactMatch","1","4189183","Fibrosis of testis","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012859","37429801","HPO","Esophageal leukoplakia","","Maps to","skos:exactMatch","1","435577","Leukoplakia of esophagus","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012853","37429795","HPO","Scrotal hypospadias","","Maps to","skos:exactMatch","1","45765508","Scrotal hypospadias","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012851","37429793","HPO","Colonic stenosis","Narrowing of the colon | Stenosis of the colon","Maps to","skos:exactMatch","1","4078069","Stenosis of colon","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012850","37429792","HPO","Small intestinal dysmotility","","Maps to","skos:exactMatch","1","4109785","Congenital dysmotility of small intestine","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012849","37429791","HPO","Small intestinal bleeding","Small intestinal haemorrhage | Small intestinal hemorrhage","Maps to","skos:exactMatch","1","197024","Small intestinal hemorrhage","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012847","37429789","HPO","Epilepsia partialis continua","Epilepsia partialis continua of Kojevnikov | Kojevnikov's epilepsia | Kozhevnikov's epilepsia","Maps to","skos:exactMatch","1","374023","Epilepsia partialis continua","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012844","37429786","HPO","Trichilemmoma","Tricholemmoma","Maps to","skos:exactMatch","1","4166152","Trichilemmoma","SNOMED","Condition","Alexander Davydov","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Condition","HP_0012843","37429785","HPO","Hair follicle neoplasm","","Maps to","skos:exactMatch","1","4166153","Pilomatrixoma","SNOMED","Condition","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Observation","HP_0012842","37429784","HPO","Skin appendage neoplasm","Skin adnexal neoplasm | Skin adnexal tumor | Skin adnexal tumour","Maps to","skos:exactMatch","1","4208106","Skin appendage adenoma","SNOMED","Observation","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Meas Value","HP_0012840","37429782","HPO","Proximal","","Maps to","skos:exactMatch","1","4226543","Proximal","SNOMED","Meas Value","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Meas Value","HP_0012839","37429781","HPO","Distal","Outermost","Maps to","skos:exactMatch","1","4261786","Distal","SNOMED","Meas Value","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
"HPO","HPO","Meas Value","HP_0012838","37429780","HPO","Localized","Localised","Maps to","skos:exactMatch","1","4114652","Localized","SNOMED","Meas Value","Polina Talapova","Tetiana Nesmiian","","semapv:ManualMappingCuration","",""
