ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
"40213158","2062502079","1","1"
"36118947","2062502427","1","1"
"4087619","2061500606","1","1"
"4036044","2061505898","1","1"
"4046604","2061505836","1","1"
"3027801","2061501617","1","1"
"19060985","2062506062","1","1"
"45766147","2061500703","1","1"
"19052619","2062507484","1","1"
"4196111","2061505783","1","1"
"4253535","2061500577","1","1"
"44782659","2061501754","1","1"
"45758338","2062500664","1","1"
"35609185","2062498019","1","1"
"36859119","2062502243","1","1"
"35609182","2062498025","1","1"
"44790743","2062498066","1","1"
"1126658","2062502005","1","1"
"45766147","2061501047","1","1"
"46286019","2062498107","1","1"
"2061501794","40128958","1","1"
"2061500512","3029439","1","1"
"19010309","2062505961","1","1"
"9201","2062508411","1","1"
"4159405","2061501590","1","1"
"37110035","2061500964","1","1"
"40242573","2062503688","1","1"
"722042","2061502228","1","1"
"2061502240","963895","1","1"
"4044987","2061505832","1","1"
"36713684","2061500810","1","1"
"4181966","2061502186","1","1"
"2061501793","35603336","1","1"
"2061501284","37499293","1","1"
"21495000","2061502006","1","1"
"21125875","2062503636","1","1"
"35609182","2062498023","1","1"
"4134854","2061500748","1","1"
"3034488","2061502003","1","1"
"4159406","2061501564","1","1"
"3016946","2061500565","1","1"
"19095164","2062504357","1","1"
"4260905","2061501962","1","1"
"4223723","2061501389","1","1"
"4268449","2061505859","1","1"
"45775550","2062507437","1","1"
"44817051","2061501756","1","1"
"4087619","2061500604","1","1"
"2061501965","36660146","1","1"
"1759196","2062502426","1","1"
"2061501374","1988427","1","1"
"40771524","2061500503","1","1"
"1989388","2061500591","1","1"
"2061502197","41207426","1","1"
"35609501","2062498080","1","1"
"4190104","2061501058","1","1"
"4021071","2062503672","1","1"
"2061505808","4018588","1","1"
"4133843","2061504458","1","1"
"4158616","2061500559","1","1"
"2061502197","35604682","1","1"
"35884360","2061501373","1","1"
"9201","2062508410","1","1"
"1552310","2062504309","1","1"
"21493955","2061500859","1","1"
"4226234","2061500575","1","1"
"46286094","2062498049","1","1"
"45766147","2061501931","1","1"
"938268","2062501938","1","1"
"924939","2062501902","1","1"
"4223723","2061501387","1","1"
"4269442","2061501812","1","1"
"4044973","2061505796","1","1"
"45757839","2062500801","1","1"
"21125875","2062502751","1","1"
"46286019","2062498108","1","1"
"1002418","2061505824","1","1"
"44790728","2062498037","1","1"
"45773156","2061500635","1","1"
"1319051","2062507437","1","1"
"21493955","2061500861","1","1"
"36860263","2062502181","1","1"
"1552310","2062503706","1","1"
"4190104","2061501223","1","1"
"9201","2062508427","1","1"
"3034488","2061502001","1","1"
"36118942","2062504528","1","1"
"2061501003","40741435","1","1"
"21125875","2062500946","1","1"
"2061501794","1718264","1","1"
"2061505814","3004072","1","1"
"45766147","2061501106","1","1"
"4190196","2062503620","1","1"
"40491502","2061500994","1","1"
"21125875","2062503644","1","1"
"2061501026","4281528","1","1"
"19058572","2062500834","1","1"
"43055002","2061500950","1","1"
"4014134","2061503667","1","1"
"2061501792","40021305","1","1"
"42873108","2061502266","1","1"
"4189544","2061505834","1","1"
"1759196","2062504532","1","1"
"4190196","2062501328","1","1"
"4168192","2061500890","1","1"
"4353622","2061502216","1","1"
"4222605","2061502036","1","1"
"2061505770","4323698","1","1"
"4190104","2061501220","1","1"
"4097822","2061501615","1","1"
"35609182","2062498024","1","1"
"2061500656","44802816","1","1"
"21125875","2062503318","1","1"
"4296651","2061505761","1","1"
"21027865","2062503529","1","1"
"989878","2062502393","1","1"
"21145611","2062501182","1","1"
"2061500494","2920275","1","1"
"2061501792","44057496","1","1"
"2061502197","41082103","1","1"
"2061501793","42483147","1","1"
"2061505835","3040767","1","1"
"9201","2062495438","1","1"
"2061505835","3000304","1","1"
"985247","2062502715","1","1"
"4008099","2061500796","1","1"
"21125875","2062504018","1","1"
"4159406","2061501560","1","1"
